Protein	Localization
CISD2	Secretory
CKAP2L	Nucleus
CKAP4	Secretory
CKB	Cytosol
CKS2	Cytosol
CLCC1	Secretory
CLCN2	Secretory
CLCN3	Secretory
CLCN5	Secretory
CLCN6	Secretory
CLCN7	Secretory
CLDND1	Secretory
CLIC1	Cytosol
CLIC4	Cytosol
CLIP1	Cytosol
CLK4	Nucleus
CLN3	Secretory
CLPB	Mitochondria
CLPTM1	Secretory
CLPTM1L	Secretory
CLUH	Cytosol
CMAS	Nucleus
CMBL	Cytosol
CMC2	Mitochondria
CMPK1	Cytosol
CMSS1	Nucleus
CMTR2	Cytosol
CNDP2	Cytosol
CNEP1R1	Secretory
CNN2	Cytosol
CNNM3	Secretory
CNNM4	Secretory
CNOT4	Cytosol
CNP	Secretory
CNPY3	Nucleus
CNST	Secretory
CNTRL	Cytosol
COA1	Mitochondria
COA3	Mitochondria
COA7	Nucleus
COASY	Cytosol
COG4	Cytosol
COL4A3BP	Cytosol
COMMD4	Cytosol
COMMD6	Cytosol
COMTD1	Mitochondria
COPA	Cytosol
COPB2	Cytosol
COPG1	Cytosol
COPS4	Cytosol
COPS7A	Cytosol
COPZ1	Cytosol
COQ2	Mitochondria
COQ3	Secretory
COQ7	Secretory
COQ9	Mitochondria
COX10	Mitochondria
COX11	Mitochondria
COX14	Mitochondria
COX15	Mitochondria
COX16	Mitochondria
COX17	Nucleus
COX18	Mitochondria
COX20	Mitochondria
COX4I1	Mitochondria
COX5B	Mitochondria
COX6B1	Mitochondria
COX6C	Mitochondria
COX7A2	Mitochondria
COX7A2L	Mitochondria
COX7B	Mitochondria
COX7C	Mitochondria
CPD	Secretory
CPNE3	Cytosol
CPOX	Nucleus
CPSF6	Nucleus
CPT1A	Mitochondria
CPT2	Mitochondria
CRABP2	Cytosol
CRBN	Cytosol
CREBBP	Nucleus
CRELD1	Secretory
CRIM1	Secretory
CRK	Cytosol
CRKL	Cytosol
CRLF3	Cytosol
CRTAP	Secretory
CRTC1	Cytosol
CRTC2	Cytosol
CRTC3	Cytosol
CSE1L	Cytosol
CSK	Cytosol
CSTB	Cytosol
CSTF3	Nucleus
CTBP1	Nucleus
CTCF	Nucleus
CTDP1	Nucleus
CTH	Cytosol
CTNNA1	Secretory
CTNNB1	Mitochondria
CTNNBIP1	Cytosol
CTNNBL1	Nucleus
CTNND1	Mitochondria
CTPS1	Cytosol
CTPS2	Cytosol
CTR9	Nucleus
CTTNBP2NL	Cytosol
CTU2	Cytosol
CUEDC2	Cytosol
CUL1	Cytosol
CUL9	Cytosol
CUX1	Secretory
CWC22	Nucleus
CXADR	Secretory
CXorf23	Nucleus
CXorf38	Cytosol
CXXC1	Nucleus
CYB5A	Secretory
CYB5B	Secretory
CYB5D2	Secretory
CYB5R3	Secretory
CYB5R4	Cytosol
CYC1	Mitochondria
CYHR1	Nucleus
CYP20A1	Secretory
CYP51A1	Secretory
CYR61	Secretory
CYTH1	Cytosol
CYTH3	Cytosol
DAAM1	Secretory
DAG1	Secretory
DAGLB	Secretory
DAK	Cytosol
DBI	Cytosol
DBNDD1	Cytosol
DBNL	Cytosol
DCAF13	Nucleus
DCBLD2	Secretory
DCTD	Cytosol
DCTN1	Cytosol
DCTN2	Cytosol
DCTN4	Cytosol
DCTN5	Cytosol
DCTN6	Cytosol
DCTPP1	Cytosol
DCUN1D1	Cytosol
DCUN1D3	Secretory
DDAH1	Cytosol
DDB2	Nucleus
DDHD2	Cytosol
DDI2	Cytosol
DDOST	Secretory
DDR1	Secretory
DDRGK1	Secretory
DDX10	Nucleus
DDX18	Nucleus
DDX20	Nucleus
DDX24	Nucleus
DDX28	Secretory
DDX31	Nucleus
DDX39A	Nucleus
DDX39B	Nucleus
DDX47	Nucleus
DDX49	Nucleus
DDX5	Nucleus
DDX50	Nucleus
DDX51	Nucleus
DDX52	Nucleus
DDX55	Nucleus
DDX56	Nucleus
DDX58	Cytosol
DEGS1	Secretory
DENND4C	Cytosol
DENR	Cytosol
DEPDC5	Cytosol
DERL2	Secretory
DFFA	Cytosol
DGCR2	Secretory
DGCR8	Nucleus
DHCR24	Secretory
DHCR7	Secretory
DHDDS	Secretory
DHFR	Cytosol
DHODH	Mitochondria
DHRS1	Secretory
DHRS3	Secretory
DHRS7	Secretory
DHRSX	Secretory
DHX16	Nucleus
DHX30	Secretory
DHX33	Nucleus
DHX36	Nucleus
DHX37	Nucleus
DHX40	Nucleus
DHX9	Nucleus
DIABLO	Nucleus
DIAPH1	Cytosol
DIDO1	Nucleus
DIMT1	Nucleus
DIP2A	Cytosol
DIP2B	Cytosol
DIS3L	Cytosol
DIS3L2	Cytosol
DKC1	Nucleus
DLAT	Secretory
DLG1	Mitochondria
DLG5	Secretory
DLGAP5	Cytosol
DMTF1	Nucleus
DNA2	Cytosol
DNAAF2	Cytosol
DNAJA3	Mitochondria
DNAJB11	Secretory
DNAJB12	Secretory
DNAJB14	Secretory
DNAJB4	Cytosol
DNAJC1	Secretory
DNAJC10	Secretory
DNAJC11	Mitochondria
DNAJC13	Secretory
DNAJC16	Secretory
DNAJC19	Mitochondria
DNAJC25	Secretory
DNAJC3	Secretory
DNAJC30	Mitochondria
DNAJC5	Secretory
DNAJC7	Cytosol
DNM2	Cytosol
DNMBP	Cytosol
DNTTIP1	Nucleus
DNTTIP2	Nucleus
DOCK9	Secretory
DOHH	Cytosol
DOT1L	Nucleus
DPF2	Nucleus
DPH2	Cytosol
DPH3	Cytosol
DPH5	Cytosol
DPH7	Cytosol
DPM1	Secretory
DPM3	Secretory
DPP3	Cytosol
DPY19L1	Secretory
DPY19L3	Secretory
DPY19L4	Secretory
DPYD	Cytosol
DRG2	Cytosol
DROSHA	Nucleus
DSCR3	Cytosol
DSTN	Cytosol
DTD1	Cytosol
DTNB	Mitochondria
DTNBP1	Cytosol
DTYMK	Cytosol
DUSP12	Cytosol
DUSP14	Cytosol
DUSP3	Cytosol
DVL2	Cytosol
DYNC1H1	Cytosol
DYNC1I2	Cytosol
DYNC1LI1	Cytosol
DYNC1LI2	Cytosol
DYNLRB1	Cytosol
DYNLT3	Cytosol
DYRK1A	Cytosol
DZIP3	Secretory
EBAG9	Secretory
EBNA1BP2	Nucleus
EBP	Secretory
ECD	Cytosol
ECE1	Secretory
ECI2	Secretory
ECSIT	Mitochondria
ECT2	Secretory
EDEM2	Secretory
EDEM3	Secretory
EDF1	Cytosol
EEF1A1	Cytosol
EEF1B2	Cytosol
EEF1D	Cytosol
EEF1G	Cytosol
EEF2	Cytosol
EEF2K	Cytosol
EFCAB14	Secretory
EFNB1	Secretory
EFR3A	Secretory
EFTUD1	Cytosol
EGFR	Secretory
EHBP1	Cytosol
EIF1AD	Cytosol
EIF2AK3	Secretory
EIF2AK4	Cytosol
EIF2B1	Cytosol
EIF4EBP2	Cytosol
EIF4H	Cytosol
EIF6	Cytosol
ELAVL1	Nucleus
ELL2	Nucleus
ELMO2	Cytosol
ELMOD2	Secretory
ELMSAN1	Nucleus
ELOVL1	Secretory
ELP4	Cytosol
EMC1	Secretory
EMC10	Secretory
EMC3	Secretory
EMC4	Secretory
EMC7	Secretory
EMC8	Secretory
EMD	Secretory
EML3	Cytosol
EML4	Cytosol
EMP2	Secretory
ENAH	Cytosol
ENDOD1	Secretory
ENDOG	Nucleus
ENO1	Cytosol
ENO3	Cytosol
ENOPH1	Cytosol
ENSA	Cytosol
ENTPD4	Secretory
ENTPD6	Secretory
EPB41	Mitochondria
EPB41L5	Secretory
EPHA2	Secretory
EPHB2	Secretory
EPHB4	Secretory
EPHX1	Secretory
ERAL1	Mitochondria
ERBB2	Secretory
ERBB2IP	Mitochondria
ERC1	Cytosol
ERCC6L	Cytosol
ERF	Cytosol
ERGIC1	Secretory
ERGIC2	Secretory
ERGIC3	Secretory
ERLEC1	Secretory
ERLIN1	Secretory
ERLIN2	Secretory
ERMP1	Secretory
ERN1	Secretory
ERP29	Nucleus
ESCO1	Nucleus
ESF1	Nucleus
ESRRA	Nucleus
ESYT1	Secretory
ESYT2	Secretory
ETF1	Cytosol
ETFA	Mitochondria
ETFDH	Mitochondria
EXD2	Mitochondria
EXOG	Mitochondria
EXOSC10	Nucleus
EXOSC3	Nucleus
EXOSC5	Nucleus
EXOSC9	Nucleus
EXT2	Secretory
EXTL3	Secretory
EZR	Cytosol
FADS1	Secretory
FAF2	Secretory
FAH	Cytosol
FAIM	Cytosol
FAM103A1	Nucleus
FAM105B	Cytosol
FAM107B	Cytosol
FAM111A	Nucleus
FAM114A2	Cytosol
FAM120A	Nucleus
FAM134A	Secretory
FAM134C	Secretory
FAM136A	Nucleus
FAM160A2	Cytosol
FAM160B1	Cytosol
FAM162A	Mitochondria
FAM168A	Cytosol
FAM173A	Mitochondria
FAM173B	Mitochondria
FAM175B	Cytosol
FAM177A1	Secretory
FAM178A	Nucleus
FAM208A	Nucleus
FAM208B	Nucleus
FAM20B	Secretory
FAM210A	Mitochondria
FAM3C	Secretory
FAM47E-STBD1	Secretory
FAM64A	Secretory
FAM65A	Cytosol
FAM69A	Secretory
FAM73A	Mitochondria
FAM73B	Mitochondria
FAM76A	Nucleus
FAM76B	Nucleus
FAM8A1	Secretory
FAM96A	Cytosol
FAR1	Secretory
FARP2	Mitochondria
FARSA	Nucleus
FARSB	Nucleus
FAS	Secretory
FASTK	Secretory
FASTKD1	Mitochondria
FASTKD2	Mitochondria
FASTKD3	Secretory
FASTKD5	Mitochondria
FAT1	Secretory
FBL	Nucleus
FBLIM1	Cytosol
FBRS	Nucleus
FBXL4	Mitochondria
FBXO11	Nucleus
FBXO28	Nucleus
FBXO3	Cytosol
FBXO30	Cytosol
FBXW5	Cytosol
FCF1	Nucleus
FCHSD2	Cytosol
FDFT1	Secretory
FDPS	Cytosol
FER	Cytosol
FGFR1OP	Cytosol
FGFRL1	Secretory
FHOD1	Cytosol
FIZ1	Nucleus
FKBP14	Nucleus
FKBP3	Cytosol
FKBP4	Cytosol
FKBP8	Secretory
FKBPL	Cytosol
FKRP	Secretory
FKTN	Secretory
FLCN	Cytosol
FLNA	Cytosol
FLNB	Cytosol
FLOT1	Secretory
FLOT2	Secretory
FLVCR1	Secretory
FMNL2	Secretory
FNBP1	Cytosol
FNBP1L	Cytosol
FNBP4	Nucleus
FNDC3A	Secretory
FNDC3B	Secretory
FNIP1	Cytosol
FOXJ2	Nucleus
FOXK1	Nucleus
FOXK2	Nucleus
FOXO3	Cytosol
FOXRED1	Mitochondria
FPGT	Cytosol
FRMD5	Secretory
FRRS1	Secretory
FRS2	Secretory
FSCN1	Cytosol
FTSJ1	Cytosol
FUNDC2	Mitochondria
FURIN	Secretory
FUT8	Secretory
FXR2	Nucleus
FYTTD1	Nucleus
FZD2	Secretory
FZD6	Secretory
FZD7	Secretory
G6PD	Cytosol
GABARAP	Cytosol
GABARAPL1	Cytosol
GABPA	Nucleus
GADD45GIP1	Secretory
GALE	Cytosol
GALK1	Cytosol
GALK2	Cytosol
GALNT1	Secretory
GALNT10	Secretory
GALNT11	Secretory
GALNT2	Secretory
GALNT7	Secretory
GAPDH	Cytosol
GAR1	Nucleus
GARS	Cytosol
GART	Cytosol
GATAD1	Nucleus
GBA	Secretory
GBA2	Secretory
GBE1	Cytosol
GBP2	Cytosol
GCLM	Cytosol
GCNT1	Secretory
GCSH	Mitochondria
GDAP1	Mitochondria
GDE1	Secretory
GDI2	Cytosol
GDPD1	Secretory
GDPD3	Secretory
GEMIN5	Cytosol
GGA1	Cytosol
GGA3	Cytosol
GGCT	Cytosol
GGCX	Secretory
GHITM	Mitochondria
GINM1	Secretory
GIPC1	Cytosol
GLA	Nucleus
GLCE	Secretory
GLE1	Nucleus
GLG1	Secretory
GLIPR2	Secretory
GLOD4	Cytosol
GLRX	Cytosol
GLRX3	Cytosol
GLS	Mitochondria
GLT8D1	Secretory
GLTSCR2	Nucleus
GLUL	Cytosol
GMCL1	Nucleus
GMFB	Cytosol
GMIP	Cytosol
GMPPA	Cytosol
GMPPB	Cytosol
GMPR2	Cytosol
GNA13	Secretory
GNAI1	Secretory
GNAI2	Secretory
GNAI3	Secretory
GNAQ	Secretory
GNAS	Secretory
GNAZ	Secretory
GNB1	Secretory
GNB1L	Cytosol
GNB2	Secretory
GNB5	Cytosol
GNL2	Nucleus
GNPAT	Secretory
GNPDA2	Cytosol
GNPNAT1	Cytosol
GNPTAB	Secretory
GOLGA1	Secretory
GOLGA2	Secretory
GOLGA3	Cytosol
GOLGA4	Nucleus
GOLGA5	Secretory
GOLGA7	Secretory
GOLGA7B	Secretory
GOLGB1	Secretory
GOLIM4	Secretory
GOLM1	Secretory
GOLPH3L	Cytosol
GOLT1B	Secretory
GORASP1	Secretory
GORASP2	Secretory
GOSR1	Secretory
GPAM	Mitochondria
GPATCH4	Nucleus
GPATCH8	Nucleus
GPCPD1	Cytosol
GPD1L	Cytosol
GPD2	Mitochondria
GPI	Cytosol
GPN1	Cytosol
GPN3	Cytosol
GPR107	Secretory
GPR108	Secretory
GPR125	Secretory
GPR126	Secretory
GPR180	Secretory
GPR39	Secretory
GPR56	Secretory
GPRC5A	Secretory
GPSM1	Cytosol
GPX4	Cytosol
GPX8	Secretory
GRAMD1A	Secretory
GRAMD3	Secretory
GRAMD4	Secretory
GRHPR	Cytosol
GRIPAP1	Cytosol
GRSF1	Secretory
GSE1	Nucleus
GSG2	Nucleus
GSK3A	Cytosol
GSK3B	Cytosol
GSN	Cytosol
GSPT1	Cytosol
GSR	Cytosol
GSS	Cytosol
GSTO1	Cytosol
GTF2IRD1	Mitochondria
GTF3A	Cytosol
GTF3C2	Nucleus
GTPBP10	Secretory
GTPBP6	Mitochondria
GTPBP8	Mitochondria
GUF1	Mitochondria
GUK1	Cytosol
H1F0	Nucleus
H1FX	Nucleus
H2AFY	Nucleus
HADHA	Mitochondria
HADHB	Mitochondria
HAGH	Cytosol
HARS	Cytosol
HAUS3	Cytosol
HAUS8	Cytosol
HAX1	Mitochondria
HCCS	Mitochondria
HCFC1	Nucleus
HDAC2	Nucleus
HDAC4	Cytosol
HDAC7	Cytosol
HDAC8	Cytosol
HDDC2	Cytosol
HDHD1	Cytosol
HDLBP	Nucleus
HEATR1	Nucleus
HEBP1	Cytosol
HECTD4	Cytosol
HELB	Cytosol
HELZ	Nucleus
HELZ2	Nucleus
HERC1	Cytosol
HERC2	Secretory
HERC5	Nucleus
HINT3	Secretory
HIP1	Mitochondria
HIRIP3	Nucleus
HIST1H1B	Nucleus
HIST1H1C	Nucleus
HIST1H1E	Nucleus
HIST2H3PS2	Nucleus
