Human_Gene	Uniprot_GO_SUM
ADRB1	PM
ADRB3	PM
ADSS	cytosol
ADSSL1	cytosol
ADTRP	PM
AEBP2	Nucleus
AEN	Nucleus
AES	Nucleus
AFAP1	CS
AFAP1L1	CS
AFAP1L2	cytosol
AFF1	Nucleus
AFF2	Nucleus
AFF3	Nucleus
AFF4	Nucleus
AFG3L2	Mitochondrion
AFTPH	CS
AGA	lysosome
AGAP1	cytosol
AGBL1	cytosol
AGBL3	cytosol
AGK	Mitochondrion
AGMAT	Mitochondrion
AGMO	ER
AGO1	CS
AGO3	CS
AGO4	CS
AGPAT1	ER
AGPAT2	ER
AGPAT4	ER
AGPAT6	ER
AGPAT9	ER
AGR2	ER
AGR3	ER
AGTR1	PM
AGTR2	PM
AGXT2	Mitochondrion
AHI1	CS
AHNAK	Nucleus
AHNAK2	Nucleus
AHSP	cytosol
AIDA	cytosol
AIP	cytosol
AK1	cytosol
AK2	Mitochondrion
AK3	Mitochondrion
AK4	Mitochondrion
AK5	cytosol
AK7	cytosol
AK8	cytosol
AKAP1	Mitochondrion
AKAP11	CS
AKAP14	cytosol
AKAP17A	Nucleus
AKAP4	CS
AKAP7	PM
AKIP1	Nucleus
AKIRIN1	Nucleus
AKIRIN2	Nucleus
AKNA	Nucleus
AKNAD1	cytosol
AKR1B1	cytosol
AKR1C1	cytosol
AKR1C2	cytosol
AKR1C3	cytosol
AKR1C4	cytosol
AKR1CL1	cytosol
AKR1D1	cytosol
AKR1E2	cytosol
AKR7A3	cytosol
AKR7L	cytosol
AKT1S1	cytosol
ALAS1	Mitochondrion
ALAS2	Mitochondrion
ALDH18A1	Mitochondrion
ALDH1A1	cytosol
ALDH1A2	cytosol
ALDH1A3	cytosol
ALDH1B1	Mitochondrion
ALDH1L1	cytosol
ALDH1L2	Mitochondrion
ALDH2	Mitochondrion
ALDH3A1	cytosol
ALDH4A1	Mitochondrion
ALDH5A1	Mitochondrion
ALDH6A1	Mitochondrion
ALDH8A1	cytosol
ALDH9A1	cytosol
ALDOA	CS
ALDOB	CS
ALG1	ER
ALG10	ER
ALG10B	PM
ALG11	ER
ALG12	ER
ALG13	ER
ALG1L	ER
ALG1L2	ER
ALG3	ER
ALG5	ER
ALG6	ER
ALG8	ER
ALG9	ER
ALK	PM
ALKBH2	Nucleus
ALKBH5	Nucleus
ALKBH7	Mitochondrion
ALOX12B	cytosol
ALOXE3	cytosol
ALPI	PM
ALPK2	Nucleus
ALPK3	Nucleus
ALPL	PM
ALPP	PM
ALPPL2	PM
ALS2CL	cytosol
ALX1	Nucleus
ALX3	Nucleus
ALX4	Nucleus
AMD1	cytosol
AMDHD1	cytosol
AMDHD2	Nucleus
AMER2	PM
AMER3	PM
AMFR	ER
AMHR2	PM
AMOTL1	CS
AMOTL2	endosome
AMPD1	cytosol
AMPD2	cytosol
AMPD3	cytosol
AMT	Mitochondrion
ANAPC13	Nucleus
ANHX	Nucleus
ANKFY1	lysosome
ANKH	PM
ANKHD1	cytosol
ANKIB1	cytosol
ANKLE2	ER
ANKMY2	CS
ANKRD1	Nucleus
ANKRD11	Nucleus
ANKRD12	Nucleus
ANKRD13A	PM
ANKRD13B	PM
ANKRD13D	PM
ANKRD20A1	PM
ANKRD26	CS
ANKRD28	Nucleus
ANKRD30A	Nucleus
ANKRD49	Nucleus
ANKRD50	endosome
ANKS1A	CS
ANKS6	CS
ANO10	PM
ANO2	PM
ANO3	PM
ANO4	PM
ANO6	PM
ANO8	PM
ANO9	PM
ANTXR1	PM
ANXA10	Mitochondrion
ANXA13	PM
AOC3	PM
AOPEP	cytosol
AOX1	cytosol
AP5B1	lysosome
APAF1	cytosol
APBB1IP	CS
APCDD1	PM
APEH	cytosol
APIP	cytosol
APLNR	PM
APOBEC1	cytosol
APOBEC3B	Nucleus
APOBEC3D	CS
APOBEC3F	CS
APOBR	PM
APOC1	ER
APOL2	cytosol
APOL3	cytosol
APOL5	cytosol
APOL6	cytosol
APOLD1	PM
APOOL	Mitochondrion
APOPT1	Mitochondrion
APRT	cytosol
AQP1	PM
AQP10	PM
AQP3	PM
AQP5	PM
AQP8	PM
AQR	Nucleus
ARAF	cytosol
ARAP2	cytosol
AREL1	cytosol
ARF4	Golgi
ARFRP1	Golgi
ARG1	cytosol
ARG2	Mitochondrion
ARGFX	Nucleus
ARHGAP1	cytosol
ARHGAP11A	cytosol
ARHGAP11B	cytosol
ARHGAP12	cytosol
ARHGAP18	cytosol
ARHGAP19	Nucleus
ARHGAP20	cytosol
ARHGAP23	cytosol
ARHGAP24	CS
ARHGAP25	cytosol
ARHGAP26	CS
ARHGAP29	cytosol
ARHGAP31	CS
ARHGAP36	cytosol
ARHGAP39	Nucleus
ARHGAP40	cytosol
ARHGAP6	cytosol
ARHGAP8	cytosol
ARHGAP9	cytosol
ARHGDIA	cytosol
ARHGDIB	cytosol
ARHGDIG	cytosol
ARHGEF10	CS
ARHGEF10L	cytosol
ARHGEF15	CS
ARHGEF16	cytosol
ARHGEF17	cytosol
ARHGEF26	CS
ARHGEF3	cytosol
ARHGEF37	cytosol
ARHGEF38	cytosol
ARHGEF39	PM
ARHGEF40	cytosol
ARHGEF6	CS
ARHGEF7	CS
ARHGEF9	cytosol
ARID1A	Nucleus
ARID1B	Nucleus
ARID2	Nucleus
ARID3B	Nucleus
ARID3C	Nucleus
ARID4A	Nucleus
ARID5A	Nucleus
ARID5B	Nucleus
ARIH1	cytosol
ARL14EP	cytosol
ARL17A	Golgi
ARL6IP4	Nucleus
ARL8A	endosome
ARMC1	Mitochondrion
ARMC10	ER
ARMC12	Nucleus
ARMC4	CS
ARMC5	cytosol
ARMC7	cytosol
ARMCX3	Mitochondrion
ARMS2	cytosol
ARNT	Nucleus
ARNT2	Nucleus
ARNTL2	Nucleus
ARPC1A	CS
ARPC1B	CS
ARPC3	CS
ARPC4	CS
ARPC5	CS
ARPC5L	CS
ARPIN	CS
ARPP19	cytosol
ARPP21	cytosol
ARSA	lysosome
ARSD	lysosome
ARSE	Golgi
ARSF	ER
ARSH	ER
ARSI	ER
ARSJ	ER
ARSK	ER
ART3	PM
ART4	PM
ARX	Nucleus
AS3MT	cytosol
ASAH1	lysosome
ASAP3	cytosol
ASB6	cytosol
ASB8	cytosol
ASB9	Mitochondrion
ASCC1	cytosol
ASCC2	Nucleus
ASCL1	Nucleus
ASCL2	Nucleus
ASCL3	Nucleus
ASCL4	Nucleus
ASCL5	Nucleus
ASF1A	Nucleus
ASF1B	Nucleus
ASH2L	Nucleus
ASIC1	PM
ASIC4	PM
ASIC5	PM
ASL	cytosol
ASMT	cytosol
ASMTL	cytosol
ASNS	cytosol
ASNSD1	cytosol
ASRGL1	cytosol
ASTN1	PM
ASTN2	endosome
ASUN	cytosol
ASXL1	Nucleus
ASXL2	Nucleus
ASXL3	Nucleus
ATAD2	Nucleus
ATAD2B	Nucleus
ATAD3B	Mitochondrion
ATAD5	Nucleus
ATF1	Nucleus
ATF3	Nucleus
ATF7IP	Nucleus
ATF7IP2	Nucleus
ATG10	cytosol
ATG16L2	CS
ATG3	cytosol
ATG4A	cytosol
ATG4B	cytosol
ATG4C	cytosol
ATL2	ER
ATL3	ER
ATMIN	Nucleus
ATOH1	Nucleus
ATOH7	Nucleus
ATOX1	cytosol
ATP13A1	ER
ATP13A2	lysosome
ATP1A2	PM
ATP1A3	PM
ATP1B1	PM
ATP1B2	PM
ATP1B3	PM
ATP2B1	PM
ATP2B3	PM
ATP2C1	Golgi
ATP4A	PM
ATP4B	PM
ATP5B	Mitochondrion
ATP5C1	Mitochondrion
ATP5D	Mitochondrion
ATP5E	Mitochondrion
ATP5EP2	Mitochondrion
ATP5F1	Mitochondrion
ATP5G1	Mitochondrion
ATP5G2	Mitochondrion
ATP5G3	Mitochondrion
ATP5H	Mitochondrion
ATP5I	Mitochondrion
ATP5J	Mitochondrion
ATP5J2	Mitochondrion
ATP5L	Mitochondrion
ATP5L2	Mitochondrion
ATP5O	Mitochondrion
ATP5S	Mitochondrion
ATP5SL	Mitochondrion
ATP6AP1	endosome
ATP6V0A4	PM
ATP6V1E2	cytosol
ATP6V1G2	cytosol
ATPAF1	Mitochondrion
ATPAF2	Mitochondrion
ATPIF1	Mitochondrion
ATRIP	Nucleus
ATXN2	cytosol
ATXN3	Nucleus
ATXN3L	Nucleus
ATXN7L3	Nucleus
ATXN8	Nucleus
AUH	Mitochondrion
AUP1	ER
AUTS2	Nucleus
AVIL	CS
AVL9	endosome
AVPR1A	PM
AVPR1B	PM
AVPR2	PM
AWAT1	ER
AWAT2	ER
AXIN2	cytosol
AXL	PM
AZI2	cytosol
AZIN1	Nucleus
B3GALNT1	Golgi
B3GALT1	Golgi
B3GALT2	Golgi
B3GALT4	Golgi
B3GALT5	Golgi
B3GALT6	Golgi
B3GALTL	ER
B3GAT1	Golgi
B3GAT2	Golgi
B3GAT3	Golgi
B3GNT1	Golgi
B3GNT2	Golgi
B3GNT3	Golgi
B3GNT4	Golgi
B3GNT5	Golgi
B3GNT6	Golgi
B3GNT7	Golgi
B3GNT8	Golgi
B3GNT9	Golgi
B4GALNT1	Golgi
B4GALNT2	Golgi
B4GALNT3	Golgi
B4GALNT4	Golgi
B4GALT2	Golgi
B4GALT3	Golgi
B4GALT4	Golgi
B4GALT5	Golgi
B4GALT6	Golgi
B4GALT7	Golgi
BAAT	cytosol
BACH1	Nucleus
BAG2	cytosol
BAG4	cytosol
BAHD1	Nucleus
BAI1	PM
BAI2	PM
BAI3	PM
BAIAP2L1	CS
BAK1	Mitochondrion
BANP	Nucleus
BAP18	Nucleus
BARHL1	Nucleus
BARHL2	Nucleus
BARX1	Nucleus
BARX2	Nucleus
BATF2	Nucleus
BATF3	Nucleus
BAZ1A	Nucleus
BAZ1B	Nucleus
BAZ2B	Nucleus
BBC3	Mitochondrion
BBIP1	CS
BBOX1	cytosol
BBS10	CS
BBS12	CS
BBX	Nucleus
BCAM	PM
BCAP29	ER
BCAS1	cytosol
BCAS2	Nucleus
BCAS4	cytosol
BCAT1	cytosol
BCAT2	Mitochondrion
BCCIP	Nucleus
BCDIN3D	cytosol
BCKDHA	Mitochondrion
BCKDHB	Mitochondrion
BCKDK	Mitochondrion
BCL11B	Nucleus
BCL2A1	cytosol
BCL2L12	Nucleus
BCL2L2	Mitochondrion
BCL6	Nucleus
BCL6B	Nucleus
BCL9	Nucleus
BCL9L	Nucleus
BCO1	cytosol
BCO2	Mitochondrion
BCOR	Nucleus
BCORL1	Nucleus
BCS1L	Mitochondrion
BDH1	Mitochondrion
BDH2	cytosol
BDKRB1	PM
BDKRB2	PM
BDP1	Nucleus
BECN1P1	cytosol
BEND3	Nucleus
BEND5	Golgi
BEND6	Nucleus
BEST1	PM
BEST2	PM
BEST3	PM
BEST4	PM
BET1L	Golgi
BEX5	cytosol
BFAR	ER
BHLHA15	Nucleus
BHLHE22	Nucleus
BHLHE23	Nucleus
BHLHE41	Nucleus
BHMG1	Nucleus
BHMT	cytosol
BHMT2	cytosol
BICC1	cytosol
BICD1	Golgi
BIK	Mitochondrion
BIN3	CS
BIRC8	cytosol
BLID	Mitochondrion
BLK	PM
BLM	Nucleus
BLMH	cytosol
BLOC1S2	CS
BLOC1S3	cytosol
BLOC1S4	cytosol
BLVRA	cytosol
BLVRB	cytosol
BMP1	Golgi
BMP2K	Nucleus
BMPR1B	PM
BMPR2	PM
BMS1	Nucleus
BMX	CS
BNC2	Nucleus
BOC	PM
BOD1	CS
BOD1L1	Nucleus
BOD1L2	CS
BOLA1	Mitochondrion
BOLL	cytosol
BOP	Mitochondrion
BOP1	Nucleus
BORA	cytosol
BPGM	cytosol
BPHL	Mitochondrion
BPNT1	cytosol
BPY2	Nucleus
BRAP	cytosol
BRD1	Nucleus
BRD2	Nucleus
BRD3	Nucleus
BRD4	Nucleus
BRD7	Nucleus
BRD8	Nucleus
BRDT	Nucleus
BRF1	Nucleus
BRF2	Nucleus
BRI3BP	Mitochondrion
BRINP1	cytosol
BRIP1	Nucleus
BRIX1	Nucleus
BRK1	CS
BRMS1L	Nucleus
BRS3	PM
BRWD3	Nucleus
BSCL2	ER
BST1	PM
BSX	Nucleus
BTAF1	Nucleus
BTBD1	CS
BTBD2	CS
BTBD6	CS
BTBD7	Nucleus
BTD	Mitochondrion
BTG3	cytosol
BTLA	PM
BTN2A1	PM
BTN3A1	PM
BTN3A2	PM
BTN3A3	PM
BUD13	Nucleus
BUD31	Nucleus
C10orf54	PM
C10orf90	CS
C11orf1	Nucleus
C11orf21	cytosol
C11orf49	Nucleus
C11orf54	Nucleus
C11orf83	Mitochondrion
C12orf4	cytosol
C12orf55	CS
C12orf57	cytosol
C12orf65	Mitochondrion
C14orf1	ER
C14orf119	Mitochondrion
C14orf159	Mitochondrion
C14orf79	cytosol
C15orf27	PM
C15orf39	cytosol
C15orf62	Mitochondrion
C16orf45	CS
C16orf62	endosome
C16orf78	Nucleus
C17orf89	Mitochondrion
C18orf8	lysosome
C19orf47	Nucleus
C1GALT1	Golgi
C1GALT1C1	Golgi
C1orf174	Nucleus
C1orf177	Mitochondrion
C1orf186	PM
C1orf198	cytosol
C1orf210	PM
C1orf52	Nucleus
C1orf61	Nucleus
C1orf85	lysosome
C1QTNF9B	ER
C1QTNF9B-AS1	cytosol
C20orf203	cytosol
C21orf33	Mitochondrion
C21orf59	CS
C21orf67	ER
C2CD3	CS
C2CD4A	Nucleus
C2CD4B	Nucleus
C2orf16	Nucleus
C2orf42	Nucleus
C2orf43	ER
C2orf47	Mitochondrion
C2orf49	Nucleus
C2orf70	Nucleus
C2orf71	CS
C2orf83	PM
C3AR1	PM
C3orf17	Nucleus
C3orf58	Golgi
C4orf27	Nucleus
C4orf46	cytosol
C4orf47	CS
C5AR2	PM
C5orf30	CS
C5orf63	Mitochondrion
C6orf10	Nucleus
C6orf136	Mitochondrion
C6orf203	Mitochondrion
C6orf47	cytosol
C6orf57	Mitochondrion
C7orf31	CS
C7orf55	Mitochondrion
C7orf61	Nucleus
C7orf73	Mitochondrion
C8orf17	ER
C8orf37	CS
C8orf44	Nucleus
C8orf88	cytosol
C9orf129	Nucleus
C9orf142	Nucleus
C9orf9	CS
CA1	cytosol
CA12	PM
CA14	PM
CA3	cytosol
CA4	PM
CA5A	Mitochondrion
CA5B	Mitochondrion
CA7	cytosol
CA8	cytosol
CAB39	cytosol
CAB39L	cytosol
CABIN1	Nucleus
CABP4	CS
CABP5	cytosol
CACFD1	PM
CACNA1C	PM
CACNA1D	PM
CACNA1E	PM
CACNA1F	PM
CACNA1I	PM
CACNA2D2	PM
CACNA2D3	PM
CACNA2D4	PM
CACNB2	PM
CACNG1	PM
CACNG4	PM
CACNG6	PM
CACNG7	PM
CALCR	PM
CALCRL	PM
CALD1	CS
CALHM2	PM
CALHM3	PM
CALR3	ER
CAMLG	ER
CAMSAP1	CS
CAMSAP2	CS
CAMSAP3	CS
CAMTA2	Nucleus
CAND2	Nucleus
CAP1	PM
CAP2	PM
CAPN3	cytosol
CAPN7	Nucleus
CAPN8	Golgi
CAPS	cytosol
CAPSL	cytosol
CAPZA1	CS
CAPZB	CS
CARD10	cytosol
CARD14	cytosol
CARD17	cytosol
CARD9	cytosol
CARF	Nucleus
CARKD	Mitochondrion
CARNS1	cytosol
CARS	cytosol
CARS2	Mitochondrion
CASC4	Golgi
CASC5	Nucleus
CASKIN1	cytosol
CASKIN2	cytosol
CASP1	cytosol
CASP10	cytosol
CASP12	ER
CASP16	cytosol
CASP3	cytosol
CASP6	cytosol
CASP7	cytosol
CASP8	cytosol
CASR	PM
CASS4	CS
CASZ1	Nucleus
CAT	Peroxisome
CATSPERD	PM
CATSPERG	PM
CBFA2T2	Nucleus
CBFB	Nucleus
CBLC	Nucleus
CBLL1	Nucleus
CBLN4	CS
CBR1	cytosol
CBR3	cytosol
CBR4	Mitochondrion
CBX2	Nucleus
CBX4	Nucleus
CBX6	Nucleus
CBX7	Nucleus
CBX8	Nucleus
CC2D1B	Nucleus
CC2D2A	CS
CCBL1	cytosol
CCBL2	Mitochondrion
CCDC101	Nucleus
CCDC103	CS
CCDC109B	Mitochondrion
CCDC11	CS
CCDC110	Nucleus
CCDC113	CS
CCDC114	CS
CCDC115	endosome
CCDC116	CS
CCDC125	cytosol
CCDC13	CS
CCDC132	endosome
CCDC135	CS
CCDC136	Mitochondrion
CCDC137	Nucleus
CCDC14	CS
CCDC141	CS
CCDC146	CS
CCDC147	CS
CCDC15	CS
CCDC151	CS
CCDC154	endosome
CCDC174	Nucleus
CCDC181	Nucleus
CCDC184	cytosol
CCDC19	CS
CCDC22	endosome
CCDC28B	CS
CCDC3	ER
CCDC38	CS
CCDC39	CS
CCDC40	CS
CCDC47	ER
CCDC50	cytosol
CCDC53	endosome
CCDC58	Mitochondrion
CCDC59	Nucleus
CCDC6	CS
CCDC61	CS
CCDC64	CS
CCDC67	CS
CCDC8	CS
CCDC81	CS
CCDC85C	CS
CCDC86	Nucleus
CCDC88C	cytosol
CCDC90B	Mitochondrion
CCDC92	CS
CCDC93	endosome
CCDC96	CS
CCKAR	PM
CCKBR	PM
CCM2	cytosol
CCNA1	Nucleus
CCNB1IP1	CS
CCNB3	Nucleus
CCNC	Nucleus
CCNE1	Nucleus
CCNE2	Nucleus
CCNF	Nucleus
CCNG1	Nucleus
CCNG2	cytosol
CCNH	Nucleus
CCNJ	Nucleus
CCNJL	Nucleus
CCNK	Nucleus
CCNL1	Nucleus
CCNL2	Nucleus
CCNO	CS
CCNT1	Nucleus
CCNT2	Nucleus
CCP110	CS
CCR1	PM
CCR10	PM
CCR2	PM
CCR3	PM
CCR4	PM
CCR5	PM
CCR6	PM
CCR7	PM
CCR8	PM
CCR9	PM
CCRL2	PM
CCS	cytosol
CCSER2	CS
CCT2	cytosol
CCT3	cytosol
CCT5	CS
CCT6A	cytosol
CCT6B	cytosol
CCT7	cytosol
CCT8	CS
CCT8L1P	cytosol
CCT8L2	cytosol
CCZ1	lysosome
CCZ1B	lysosome
CD101	PM
CD109	PM
CD160	PM
CD177	PM
CD180	PM
CD19	PM
CD1A	PM
CD200	PM
CD22	PM
CD24	PM
CD244	PM
CD274	PM
CD276	PM
CD300A	PM
CD300C	PM
CD300E	PM
CD300LB	PM
CD300LD	PM
CD300LF	PM
CD33	PM
CD37	PM
CD3E	PM
CD3G	PM
CD47	PM
CD48	PM
CD5	PM
CD52	PM
CD58	PM
CD69	PM
CD7	PM
CD72	PM
CD79A	PM
CD79B	PM
CD80	PM
CD82	PM
CD83	PM
CD84	PM
CD86	PM
CD8BP	PM
CD9	PM
CD96	PM
CDC123	cytosol
CDC14B	Nucleus
CDC20	CS
CDC25B	CS
CDC25C	Nucleus
CDC26	Nucleus
CDC27	Nucleus
CDC37	cytosol
CDC37L1	cytosol
CDC40	Nucleus
CDC42BPA	CS
CDC42BPG	CS
CDC7	Nucleus
CDC73	Nucleus
CDCA3	cytosol
CDCA4	Nucleus
CDH10	PM
CDH11	PM
CDH12	PM
CDH13	PM
CDH15	PM
CDH16	PM
CDH17	PM
CDH18	PM
CDH19	PM
CDH20	PM
CDH22	PM
CDH23	PM
CDH24	PM
CDH26	PM
CDH3	PM
CDH4	PM
CDH6	PM
CDH7	PM
CDH8	PM
CDH9	PM
CDHR3	PM
CDHR4	PM
CDHR5	PM
CDIP1	Nucleus
CDK12	Nucleus
CDK13	Nucleus
CDK5RAP1	cytosol
CDK8	Nucleus
CDKAL1	ER
CDKL3	cytosol
CDKL4	cytosol
CDKL5	Nucleus
CDKN1C	Nucleus
CDKN2AIP	Nucleus
CDO1	cytosol
CDON	PM
CDR2	cytosol
CDS1	ER
CDS2	Mitochondrion
CDT1	Nucleus
CDV3	cytosol
CDX1	Nucleus
CDX2	Nucleus
CDX4	Nucleus
CDY1	Nucleus
CDY2A	Nucleus
CDYL	Nucleus
CDYL2	Nucleus
CEACAM1	PM
CEACAM4	PM
CEACAM5	PM
CEACAM6	PM
CEACAM7	PM
CEACAM8	PM
CEBPA	Nucleus
CEBPD	Nucleus
CEBPE	Nucleus
CEBPG	Nucleus
CEBPZ	Nucleus
CEBPZOS	Mitochondrion
CECR2	Nucleus
CECR5	Mitochondrion
CELSR1	PM
CELSR2	PM
CELSR3	PM
CEMP1	cytosol
CENPB	Nucleus
CENPBD1	Nucleus
CENPJ	CS
CENPO	Nucleus
CEP120	CS
CEP128	CS
CEP135	CS
CEP152	CS
CEP170B	CS
CEP192	CS
CEP41	CS
CEP57L1	CS
CEP63	CS
CEP72	CS
CEP76	CS
CEP78	CS
CEP85L	CS
CEP95	CS
CEP97	CS
CERCAM	ER
CES1	ER
CES1P1	ER
CES2	ER
CES3	ER
CFAP221	CS
CFP	ER
CFTR	PM
CGA	Golgi
CGGBP1	Nucleus
CGN	CS
CGNL1	CS
CGRRF1	Nucleus
CH25H	ER
CHAC2	cytosol
CHAF1A	Nucleus
CHCHD10	Mitochondrion
CHCHD2	Nucleus
CHCHD2P9	Mitochondrion
CHCHD4	Mitochondrion
CHCHD5	Mitochondrion
CHCHD6	Mitochondrion
CHCHD7	Mitochondrion
CHD2	Nucleus
CHD5	Nucleus
CHD6	Nucleus
CHD7	Nucleus
CHD8	Nucleus
CHDH	Mitochondrion
CHKA	cytosol
CHKB	cytosol
CHM	cytosol
CHML	cytosol
CHMP7	cytosol
CHN1	cytosol
CHPF2	Golgi
CHPT1	Golgi
CHRAC1	Nucleus
CHRFAM7A	PM
CHST1	Golgi
CHST10	Golgi
CHST11	Golgi
CHST12	Golgi
CHST13	Golgi
CHST14	Golgi
CHST15	Golgi
CHST2	Golgi
CHST3	Golgi
CHST4	Golgi
CHST5	Golgi
CHST6	Golgi
CHST7	Golgi
CHST8	Golgi
CHST9	Golgi
CHSY1	Golgi
CHSY3	Golgi
CHTF18	Nucleus
CHTF8	Nucleus
CIC	Nucleus
CINP	Nucleus
CIPC	Nucleus
CIRH1A	Nucleus
CISD1	Mitochondrion
CISD3	Mitochondrion
CIT	cytosol
CIZ1	Nucleus
CKB	cytosol
CKM	cytosol
CKMT1A	Mitochondrion
CKMT2	Mitochondrion
CKS1B	Nucleus
CLASRP	Nucleus
CLC	cytosol
CLCA4	PM
CLCN1	PM
CLCN2	PM
CLCN4	endosome
CLCN6	endosome
CLCN7	lysosome
CLCNKA	PM
CLCNKB	PM
CLEC10A	PM
CLEC12A	PM
CLEC12B	PM
CLEC16A	endosome
CLEC1A	PM
CLEC1B	PM
CLEC2A	PM
CLEC2B	PM
CLEC4A	PM
CLEC4C	PM
CLEC4D	PM
CLEC4E	PM
CLEC4G	PM
CLEC5A	PM
CLEC6A	PM
CLECL1	PM
CLGN	ER
CLIP2	CS
CLK1	Nucleus
CLK2	Nucleus
CLK4	Nucleus
CLLU1	cytosol
CLN3	endosome
CLN5	lysosome
CLN6	ER
CLP1	Nucleus
CLPB	Mitochondrion
CLPP	Mitochondrion
CLPTM1	PM
CLRN1	PM
CLSPN	Nucleus
CLUH	cytosol
CLYBL	Mitochondrion
CMAS	Nucleus
CMBL	cytosol
CMC1	Mitochondrion
CMC2	Mitochondrion
CMC4	Mitochondrion
CMKLR1	PM
CMPK2	Mitochondrion
CMTR1	Nucleus
CNBD2	cytosol
CNDP2	cytosol
CNGA2	Golgi
CNN1	CS
CNNM1	PM
CNNM2	PM
CNNM3	PM
CNNM4	PM
CNPY2	ER
CNPY3	ER
CNR1	PM
CNTF	cytosol
CNTFR	PM
CNTLN	cytosol
CNTN1	PM
CNTN2	PM
CNTN3	PM
CNTN5	PM
CNTN6	PM
CNTROB	CS
COA1	Mitochondrion
COA3	Mitochondrion
